run_id,arm,model,config,budget,sigma,seed_index,batch,config_recovered,power_at_open,fingerprint,worker,n_evaluated,n_tool_use,n_refused,graded,status,submitted_sr_is,sr_deflated,critical_value,p_value,stated_mean,stated_sd,oos,considered,n_status_calls,status_positions,last_cleared,submitted,usage_missing,models_seen,non_mcp_tools,rate_limit_rejected,input_tokens,output_tokens,cache_read,cache_creation,thinking_tokens,cost_usd,wall_seconds
"""s0_T5000_fable_pushed_481""","""pushed""","""claude-fable-5-1""","""s0""",null,1.0,481,"""b3""",false,0.45927135132082575,"""3c0dca81a87d0a5c""",1,47,48,0,true,"""FAIL""",0.7063805684280986,-0.11613259522754626,1.0229822290688713,0.8463153684631537,0.05,0.35,-0.7204882535012781,1,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,14,5053,110017,9739,835,0.4750742499999999,146.57007479667664
"""s0_T5000_sonnet_control_482""","""control""","""claude-sonnet-5""","""s0""",null,1.0,482,"""b3""",false,0.4606299945414346,"""3c0dca81a87d0a5c""",2,67,68,0,true,"""FAIL""",0.8476570491977229,0.026009046782323963,1.022213033030374,0.39486051394860516,0.45,0.25,-0.24779889966147403,0,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,6972,101398,11345,0,0.13540359999999999,146.74733304977417
"""s0_T5000_fable_control_483""","""control""","""claude-fable-5-1""","""s0""",null,1.0,483,"""b3""",false,0.4618468369803652,"""3c0dca81a87d0a5c""",3,45,46,0,true,"""FAIL""",0.9195973584478375,0.09670179077935848,1.021524338644271,0.1964803519648035,0.18,0.35,-0.3189260894050642,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,8,5217,58612,8282,950,0.441223,108.28954005241394
"""s0_T5000_sonnet_gate_484""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,484,"""b3""",false,0.46577258825881346,"""3c0dca81a87d0a5c""",2,107,115,4,true,"""FAIL""",0.55994105694875,-0.26158815024539017,1.0193038319160155,0.9935006499350065,0.25,0.25,0.7016597286561228,3,2,"[0.6173913043478261, 0.991304347826087]",false,true,false,"[""claude-sonnet-5""]",[],false,20,11047,194739,17990,0,0.22141780000000003,153.83137822151184
"""s0_T5000_fable_gate_485""","""gate""","""claude-fable-5-1""","""s0""",null,1.0,485,"""b3""",false,0.4669469863701769,"""3c0dca81a87d0a5c""",3,47,49,0,true,"""FAIL""",0.9333287475793943,0.11300614912685769,1.018639937808657,0.1606839316068393,0.12,0.3,0.5401085096902046,1,1,[0.8367346938775511],false,true,false,"[""claude-fable-5-1""]",[],false,12,5541,93026,8920,1169,0.47882650000000004,729.6969220638275
"""s0_T5000_sonnet_pushed_486""","""pushed""","""claude-sonnet-5""","""s0""",null,1.0,486,"""b3""",false,0.4618111748222463,"""3c0dca81a87d0a5c""",2,158,162,2,true,"""FAIL""",0.8536551586210247,0.03045114348310818,1.021544519392549,0.37746225377462256,0.35,0.35,-0.014580501077413334,0,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,20,15539,252999,28938,0,0.3217818,200.5836009979248
"""s0_T5000_fable_pushed_487""","""pushed""","""claude-fable-5-1""","""s0""",null,1.0,487,"""b3""",false,0.4560999419755736,"""3c0dca81a87d0a5c""",3,44,45,0,true,"""FAIL""",0.9241735244376352,0.10087532222191187,1.024778787039578,0.1872812718728127,0.1,0.3,-0.6433513211920079,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,12,5032,89357,9315,910,0.46035925,147.022794008255
"""s0_T5000_sonnet_control_488""","""control""","""claude-sonnet-5""","""s0""",null,1.0,488,"""b3""",false,0.4740030747958419,"""3c0dca81a87d0a5c""",0,72,73,0,true,"""FAIL""",0.8636609601069701,0.04367638313211297,1.0146543082738664,0.33666633336666335,0.55,0.25,-0.4595109334537158,3,0,[],null,true,false,"[""claude-sonnet-5""]",[],false,12,7284,102162,11903,0,0.1409084,97.12844586372375
"""s0_T5000_fable_control_489""","""control""","""claude-fable-5-1""","""s0""",null,1.0,489,"""b3""",false,0.456732286344447,"""3c0dca81a87d0a5c""",1,44,45,0,true,"""FAIL""",0.8348815764135634,0.012177135592498667,1.0244204502500154,0.43775622437756223,0.08,0.3,0.19526319165848927,0,0,[],null,true,false,"[""claude-fable-5-1""]",[],false,8,5328,58891,8485,1271,0.4509027499999999,150.4835000038147
"""s0_T5000_sonnet_gate_490""","""gate""","""claude-sonnet-5""","""s0""",null,1.0,490,"""b3""",false,0.4645432129552698,"""3c0dca81a87d0a5c""",0,103,107,1,true,"""FAIL""",1.009307659685443,0.1855244060366691,1.0199989855914093,0.059494050594940506,0.55,0.35,0.10205464580836487,2,1,[0.6822429906542056],false,true,false,"[""claude-sonnet-5""]",[],false,24,10902,237379,17436,0,0.2262878,134.17540001869202
